origin,destination,departure,arrival,vehicle_class,price,fare,duration
MADRID,SEVILLA,2019-04-17 11:05:00,2019-04-17 13:41:00,Preferente,71.4938,Flexible,156
MADRID,SEVILLA,2019-04-17 11:05:00,2019-04-17 13:41:00,Preferente,87.4,Flexible,156
MADRID,SEVILLA,2019-04-17 12:00:00,2019-04-17 14:32:00,Preferente,71.4938,Flexible,152
MADRID,BARCELONA,2019-04-17 12:30:00,2019-04-17 15:30:00,Turista,71.4938,Flexible,180
MADRID,BARCELONA,2019-04-17 12:30:00,2019-04-17 15:30:00,Turista,107.7,Flexible,180
MADRID,SEVILLA,2019-04-17 13:00:00,2019-04-17 15:40:00,Turista,76.3,Flexible,160
MADRID,SEVILLA,2019-04-17 13:00:00,2019-04-17 15:40:00,Preferente,71.4938,Promo,160
MADRID,SEVILLA,2019-04-17 13:10:00,2019-04-17 20:51:00,Turista,71.4938,Flexible,461
MADRID,SEVILLA,2019-04-17 13:10:00,2019-04-17 20:51:00,Turista con enlace,71.4938,Promo +,461
MADRID,BARCELONA,2019-04-17 13:25:00,2019-04-17 16:24:00,Preferente,71.4938,Promo,179
MADRID,SEVILLA,2019-04-17 13:30:00,2019-04-17 16:05:00,Turista,71.4938,Flexible,155
MADRID,SEVILLA,2019-04-17 14:00:00,2019-04-17 16:32:00,Turista,76.3,Flexible,152
MADRID,BARCELONA,2019-04-17 14:00:00,2019-04-17 16:30:00,Preferente,115.65,Promo,150
MADRID,BARCELONA,2019-04-17 14:00:00,2019-04-17 16:30:00,Preferente,71.4938,Promo,150
MADRID,SEVILLA,2019-04-17 14:00:00,2019-04-17 16:32:00,Preferente,71.4938,Flexible,152
MADRID,BARCELONA,2019-04-17 14:30:00,2019-04-17 17:21:00,Preferente,181.5,Flexible,171
MADRID,BARCELONA,2019-04-17 14:30:00,2019-04-17 17:21:00,Turista,107.7,Flexible,171
MADRID,PONFERRADA,2019-04-17 14:40:00,2019-04-17 20:02:00,Turista,71.4938,Flexible,322
MADRID,PONFERRADA,2019-04-17 14:40:00,2019-04-17 18:52:00,Turista,71.4938,Flexible,252
MADRID,PONFERRADA,2019-04-17 14:40:00,2019-04-17 18:33:00,Turista,71.4938,Flexible,233
MADRID,SEVILLA,2019-04-17 15:00:00,2019-04-17 17:21:00,Turista,71.4938,Flexible,141
MADRID,BARCELONA,2019-04-17 15:30:00,2019-04-17 18:40:00,Turista,107.7,Flexible,190
